id,country_region_id,country_id,local_id,code,name,slug,population
"BR-AC","BR-N","BR","12","AC","Acre","ac","881935"
"BR-AL","BR-NE","BR","27","AL","Alagoas","al","3337357"
"BR-AM","BR-N","BR","13","AM","Amazonas","am","4144597"
"BR-AP","BR-N","BR","16","AP","Amapá","ap","845731"
"BR-BA","BR-NE","BR","29","BA","Bahia","ba","14873064"
"BR-CE","BR-NE","BR","23","CE","Ceará","ce","9132078"
"BR-DF","BR-CO","BR","53","DF","Distrito Federal","df","3015268"
"BR-ES","BR-SE","BR","32","ES","Espírito Santo","es","4018650"
"BR-GO","BR-CO","BR","52","GO","Goiás","go","7018354"
"BR-MA","BR-NE","BR","21","MA","Maranhão","ma","7075181"
"BR-MG","BR-SE","BR","31","MG","Minas Gerais","mg","21168791"
"BR-MS","BR-CO","BR","50","MS","Mato Grosso do Sul","ms","2778986"
"BR-MT","BR-CO","BR","51","MT","Mato Grosso","mt","3484466"
"BR-PA","BR-N","BR","15","PA","Pará","pa","8602865"
"BR-PB","BR-NE","BR","25","PB","Paraíba","pb","4018127"
"BR-PE","BR-NE","BR","26","PE","Pernambuco","pe","9557071"
"BR-PI","BR-NE","BR","22","PI","Piauí","pi","3273227"
"BR-PR","BR-S","BR","41","PR","Paraná","pr","11433957"
"BR-RJ","BR-SE","BR","33","RJ","Rio de Janeiro","rj","17264943"
"BR-RN","BR-NE","BR","24","RN","Rio Grande do Norte","rn","3506853"
"BR-RO","BR-N","BR","11","RO","Rondônia","ro","1777225"
"BR-RR","BR-N","BR","14","RR","Roraima","rr","605761"
"BR-RS","BR-S","BR","43","RS","Rio Grande do Sul","rs","11377239"
"BR-SC","BR-S","BR","42","SC","Santa Catarina","sc","7164788"
"BR-SE","BR-NE","BR","28","SE","Sergipe","se","2298696"
"BR-SP","BR-SE","BR","35","SP","São Paulo","sp","45919049"
"BR-TO","BR-N","BR","17","TO","Tocantins","to","1572866"
