id,state_id,country_region_id,country_id,local_id,name,slug,population
"BR-AC-12001","BR-AC","BR-N","BR","12001","Cruzeiro do Sul","cruzeiro-do-sul","157132"
"BR-AC-12002","BR-AC","BR-N","BR","12002","Tarauacá","tarauaca","85664"
"BR-AC-12003","BR-AC","BR-N","BR","12003","Sena Madureira","sena-madureira","61847"
"BR-AC-12004","BR-AC","BR-N","BR","12004","Rio Branco","rio-branco","505863"
"BR-AC-12005","BR-AC","BR-N","BR","12005","Brasiléia","brasileia","71429"
"BR-AL-27001","BR-AL","BR-NE","BR","27001","Serrana do Sertão Alagoano","serrana-do-sertao-alagoano","92052"
"BR-AL-27002","BR-AL","BR-NE","BR","27002","Alagoana do Sertão do São Francisco","alagoana-do-sertao-do-sao-francisco","86428"
"BR-AL-27003","BR-AL","BR-NE","BR","27003","Santana do Ipanema","santana-do-ipanema","178395"
"BR-AL-27004","BR-AL","BR-NE","BR","27004","Batalha","batalha","96234"
"BR-AL-27005","BR-AL","BR-NE","BR","27005","Palmeira dos Índios","palmeira-dos-indios","179383"
"BR-AL-27006","BR-AL","BR-NE","BR","27006","Arapiraca","arapiraca","439919"
"BR-AL-27007","BR-AL","BR-NE","BR","27007","Traipu","traipu","39799"
"BR-AL-27008","BR-AL","BR-NE","BR","27008","Serrana dos Quilombos","serrana-dos-quilombos","151846"
"BR-AL-27009","BR-AL","BR-NE","BR","27009","Mata Alagoana","mata-alagoana","317733"
"BR-AL-27010","BR-AL","BR-NE","BR","27010","Litoral Norte Alagoano","litoral-norte-alagoano","72047"
"BR-AL-27011","BR-AL","BR-NE","BR","27011","Maceió","maceio","1245479"
"BR-AL-27012","BR-AL","BR-NE","BR","27012","São Miguel dos Campos","sao-miguel-dos-campos","307213"
"BR-AL-27013","BR-AL","BR-NE","BR","27013","Penedo","penedo","130829"
"BR-AM-13001","BR-AM","BR-N","BR","13001","Rio Negro","rio-negro","117676"
"BR-AM-13002","BR-AM","BR-N","BR","13002","Japurá","japura","20979"
"BR-AM-13003","BR-AM","BR-N","BR","13003","Alto Solimões","alto-solimoes","251867"
"BR-AM-13004","BR-AM","BR-N","BR","13004","Juruá","jurua","152530"
"BR-AM-13005","BR-AM","BR-N","BR","13005","Tefé","tefe","89430"
"BR-AM-13006","BR-AM","BR-N","BR","13006","Coari","coari","181118"
"BR-AM-13007","BR-AM","BR-N","BR","13007","Manaus","manaus","2468200"
"BR-AM-13008","BR-AM","BR-N","BR","13008","Rio Preto da Eva","rio-preto-da-eva","69626"
"BR-AM-13009","BR-AM","BR-N","BR","13009","Itacoatiara","itacoatiara","180099"
"BR-AM-13010","BR-AM","BR-N","BR","13010","Parintins","parintins","280875"
"BR-AM-13011","BR-AM","BR-N","BR","13011","Boca do Acre","boca-do-acre","53734"
"BR-AM-13012","BR-AM","BR-N","BR","13012","Purus","purus","78854"
"BR-AM-13013","BR-AM","BR-N","BR","13013","Madeira","madeira","199609"
"BR-AP-16001","BR-AP","BR-N","BR","16001","Oiapoque","oiapoque","38387"
"BR-AP-16002","BR-AP","BR-N","BR","16002","Amapá","amapa","31544"
"BR-AP-16003","BR-AP","BR-N","BR","16003","Macapá","macapa","687827"
"BR-AP-16004","BR-AP","BR-N","BR","16004","Mazagão","mazagao","87973"
"BR-BA-29001","BR-BA","BR-NE","BR","29001","Barreiras","barreiras","342084"
"BR-BA-29002","BR-BA","BR-NE","BR","29002","Cotegipe","cotegipe","118963"
"BR-BA-29003","BR-BA","BR-NE","BR","29003","Santa Maria da Vitória","santa-maria-da-vitoria","182440"
"BR-BA-29004","BR-BA","BR-NE","BR","29004","Juazeiro","juazeiro","492105"
"BR-BA-29005","BR-BA","BR-NE","BR","29005","Paulo Afonso","paulo-afonso","181421"
"BR-BA-29006","BR-BA","BR-NE","BR","29006","Barra","barra","182458"
"BR-BA-29007","BR-BA","BR-NE","BR","29007","Bom Jesus da Lapa","bom-jesus-da-lapa","180315"
"BR-BA-29008","BR-BA","BR-NE","BR","29008","Senhor do Bonfim","senhor-do-bonfim","302022"
"BR-BA-29009","BR-BA","BR-NE","BR","29009","Irecê","irece","394894"
"BR-BA-29010","BR-BA","BR-NE","BR","29010","Jacobina","jacobina","338225"
"BR-BA-29011","BR-BA","BR-NE","BR","29011","Itaberaba","itaberaba","254393"
"BR-BA-29012","BR-BA","BR-NE","BR","29012","Feira de Santana","feira-de-santana","1068539"
"BR-BA-29013","BR-BA","BR-NE","BR","29013","Jeremoabo","jeremoabo","97224"
"BR-BA-29014","BR-BA","BR-NE","BR","29014","Euclides da Cunha","euclides-da-cunha","302581"
"BR-BA-29015","BR-BA","BR-NE","BR","29015","Ribeira do Pombal","ribeira-do-pombal","333876"
"BR-BA-29016","BR-BA","BR-NE","BR","29016","Serrinha","serrinha","439299"
"BR-BA-29017","BR-BA","BR-NE","BR","29017","Alagoinhas","alagoinhas","327094"
"BR-BA-29018","BR-BA","BR-NE","BR","29018","Entre Rios","entre-rios","124858"
"BR-BA-29019","BR-BA","BR-NE","BR","29019","Catu","catu","229682"
"BR-BA-29020","BR-BA","BR-NE","BR","29020","Santo Antônio de Jesus","santo-antonio-de-jesus","572784"
"BR-BA-29021","BR-BA","BR-NE","BR","29021","Salvador","salvador","3798807"
"BR-BA-29022","BR-BA","BR-NE","BR","29022","Boquira","boquira","193787"
"BR-BA-29023","BR-BA","BR-NE","BR","29023","Seabra","seabra","260825"
"BR-BA-29024","BR-BA","BR-NE","BR","29024","Jequié","jequie","514082"
"BR-BA-29025","BR-BA","BR-NE","BR","29025","Livramento do Brumado","livramento-do-brumado","101803"
"BR-BA-29026","BR-BA","BR-NE","BR","29026","Guanambi","guanambi","394309"
"BR-BA-29027","BR-BA","BR-NE","BR","29027","Brumado","brumado","227808"
"BR-BA-29028","BR-BA","BR-NE","BR","29028","Vitória da Conquista","vitoria-da-conquista","643604"
"BR-BA-29029","BR-BA","BR-NE","BR","29029","Itapetinga","itapetinga","198234"
"BR-BA-29030","BR-BA","BR-NE","BR","29030","Valença","valenca","285265"
"BR-BA-29031","BR-BA","BR-NE","BR","29031","Ilhéus-Itabuna","ilheus-itabuna","988370"
"BR-BA-29032","BR-BA","BR-NE","BR","29032","Porto Seguro","porto-seguro","800913"
"BR-CE-23001","BR-CE","BR-NE","BR","23001","Litoral de Camocim e Acaraú","litoral-de-camocim-e-acarau","389324"
"BR-CE-23002","BR-CE","BR-NE","BR","23002","Ibiapaba","ibiapaba","320838"
"BR-CE-23003","BR-CE","BR-NE","BR","23003","Coreaú","coreau","59772"
"BR-CE-23004","BR-CE","BR-NE","BR","23004","Meruoca","meruoca","26771"
"BR-CE-23005","BR-CE","BR-NE","BR","23005","Sobral","sobral","414924"
"BR-CE-23006","BR-CE","BR-NE","BR","23006","Ipu","ipu","140328"
"BR-CE-23007","BR-CE","BR-NE","BR","23007","Santa Quitéria","santa-quiteria","74023"
"BR-CE-23008","BR-CE","BR-NE","BR","23008","Itapipoca","itapipoca","228728"
"BR-CE-23009","BR-CE","BR-NE","BR","23009","Baixo Curu","baixo-curu","116242"
"BR-CE-23010","BR-CE","BR-NE","BR","23010","Uruburetama","uruburetama","110621"
"BR-CE-23011","BR-CE","BR-NE","BR","23011","Médio Curu","medio-curu","92156"
"BR-CE-23012","BR-CE","BR-NE","BR","23012","Canindé","caninde","133417"
"BR-CE-23013","BR-CE","BR-NE","BR","23013","Baturité","baturite","197767"
"BR-CE-23014","BR-CE","BR-NE","BR","23014","Chorozinho","chorozinho","68392"
"BR-CE-23015","BR-CE","BR-NE","BR","23015","Cascavel","cascavel","145883"
"BR-CE-23016","BR-CE","BR-NE","BR","23016","Fortaleza","fortaleza","3668971"
"BR-CE-23017","BR-CE","BR-NE","BR","23017","Pacajus","pacajus","139540"
"BR-CE-23018","BR-CE","BR-NE","BR","23018","Sertão de Cratéus","sertao-de-crateus","249284"
"BR-CE-23019","BR-CE","BR-NE","BR","23019","Sertão de Quixeramobim","sertao-de-quixeramobim","288042"
"BR-CE-23020","BR-CE","BR-NE","BR","23020","Sertão de Inhamuns","sertao-de-inhamuns","152136"
"BR-CE-23021","BR-CE","BR-NE","BR","23021","Sertão de Senador Pompeu","sertao-de-senador-pompeu","224884"
"BR-CE-23022","BR-CE","BR-NE","BR","23022","Litoral de Aracati","litoral-de-aracati","118788"
"BR-CE-23023","BR-CE","BR-NE","BR","23023","Baixo Jaguaribe","baixo-jaguaribe","332877"
"BR-CE-23024","BR-CE","BR-NE","BR","23024","Médio Jaguaribe","medio-jaguaribe","64245"
"BR-CE-23025","BR-CE","BR-NE","BR","23025","Serra do Pereiro","serra-do-pereiro","44221"
"BR-CE-23026","BR-CE","BR-NE","BR","23026","Iguatu","iguatu","233678"
"BR-CE-23027","BR-CE","BR-NE","BR","23027","Várzea Alegre","varzea-alegre","100198"
"BR-CE-23028","BR-CE","BR-NE","BR","23028","Lavras da Mangabeira","lavras-da-mangabeira","57992"
"BR-CE-23029","BR-CE","BR-NE","BR","23029","Chapada do Araripe","chapada-do-araripe","100042"
"BR-CE-23030","BR-CE","BR-NE","BR","23030","Caririaçu","caririacu","58845"
"BR-CE-23031","BR-CE","BR-NE","BR","23031","Barro","barro","95296"
"BR-CE-23032","BR-CE","BR-NE","BR","23032","Cariri","cariri","577939"
