id,state_id,country_region_id,country_id,local_id,name,slug,population
"BR-AC-12001","BR-AC","BR-N","BR","12001","Alto Acre","alto-acre","71429"
"BR-AC-12002","BR-AC","BR-N","BR","12002","Baixo Acre e Purus","baixo-acre-e-purus","576027"
"BR-AC-12003","BR-AC","BR-N","BR","12003","Juruá e Tarauacá/Envira","jurua-e-tarauacaenvira","234479"
"BR-AL-27001","BR-AL","BR-NE","BR","27001","1ª Região de Saúde","1a-regiao-de-saude","1276125"
"BR-AL-27002","BR-AL","BR-NE","BR","27002","2ª Região de Saúde","2a-regiao-de-saude","165430"
"BR-AL-27003","BR-AL","BR-NE","BR","27003","3ª Região de Saúde","3a-regiao-de-saude","224096"
"BR-AL-27004","BR-AL","BR-NE","BR","27004","4ª Região de Saúde","4a-regiao-de-saude","143826"
"BR-AL-27005","BR-AL","BR-NE","BR","27005","5ª Região de Saúde","5a-regiao-de-saude","238700"
"BR-AL-27006","BR-AL","BR-NE","BR","27006","6ª Região de Saúde","6a-regiao-de-saude","206303"
"BR-AL-27007","BR-AL","BR-NE","BR","27007","7ª Região de Saúde","7a-regiao-de-saude","528520"
"BR-AL-27008","BR-AL","BR-NE","BR","27008","8ª Região de Saúde","8a-regiao-de-saude","157011"
"BR-AL-27009","BR-AL","BR-NE","BR","27009","9ª Região de Saúde","9a-regiao-de-saude","236588"
"BR-AL-27010","BR-AL","BR-NE","BR","27010","10ª Região de Saúde","10a-regiao-de-saude","160758"
"BR-AM-13001","BR-AM","BR-N","BR","13001","Manaus, Entorno e Alto Rio Negro","manaus-entorno-e-alto-rio-negro","2576049"
"BR-AM-13002","BR-AM","BR-N","BR","13002","Rio Negro e Solimões","rio-negro-e-solimoes","297949"
"BR-AM-13003","BR-AM","BR-N","BR","13003","Rio Madeira","rio-madeira","199609"
"BR-AM-13004","BR-AM","BR-N","BR","13004","Médio Amazonas","medio-amazonas","172997"
"BR-AM-13005","BR-AM","BR-N","BR","13005","Baixo Amazonas","baixo-amazonas","250599"
"BR-AM-13006","BR-AM","BR-N","BR","13006","Regional Purus","regional-purus","132588"
