id,health_region_id,state_region_id,state_id,country_region_id,country_id,local_id,name,slug,countryside,population
"BR-AC-1200013","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200013","Acrelândia","acrelandia","true","15256"
"BR-AC-1200054","BR-AC-12001","BR-AC-12005","BR-AC","BR-N","BR","1200054","Assis Brasil","assis-brasil","true","7417"
"BR-AC-1200104","BR-AC-12001","BR-AC-12005","BR-AC","BR-N","BR","1200104","Brasiléia","brasileia","true","26278"
"BR-AC-1200138","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200138","Bujari","bujari","true","10266"
"BR-AC-1200179","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200179","Capixaba","capixaba","true","11733"
"BR-AC-1200203","BR-AC-12003","BR-AC-12001","BR-AC","BR-N","BR","1200203","Cruzeiro do Sul","cruzeiro-do-sul","true","88376"
"BR-AC-1200252","BR-AC-12001","BR-AC-12005","BR-AC","BR-N","BR","1200252","Epitaciolândia","epitaciolandia","true","18411"
"BR-AC-1200302","BR-AC-12003","BR-AC-12002","BR-AC","BR-N","BR","1200302","Feijó","feijo","true","34780"
"BR-AC-1200328","BR-AC-12002","BR-AC-12002","BR-AC","BR-N","BR","1200328","Jordão","jordao","true","8317"
"BR-AC-1200336","BR-AC-12003","BR-AC-12001","BR-AC","BR-N","BR","1200336","Mâncio Lima","mancio-lima","true","18977"
"BR-AC-1200344","BR-AC-12002","BR-AC-12003","BR-AC","BR-N","BR","1200344","Manoel Urbano","manoel-urbano","true","9459"
"BR-AC-1200351","BR-AC-12003","BR-AC-12001","BR-AC","BR-N","BR","1200351","Marechal Thaumaturgo","marechal-thaumaturgo","true","18867"
"BR-AC-1200385","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200385","Plácido de Castro","placido-de-castro","true","19761"
"BR-AC-1200393","BR-AC-12003","BR-AC-12001","BR-AC","BR-N","BR","1200393","Porto Walter","porto-walter","true","11982"
"BR-AC-1200401","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200401","Rio Branco","rio-branco","false","407319"
"BR-AC-1200427","BR-AC-12003","BR-AC-12001","BR-AC","BR-N","BR","1200427","Rodrigues Alves","rodrigues-alves","true","18930"
"BR-AC-1200435","BR-AC-12002","BR-AC-12003","BR-AC","BR-N","BR","1200435","Santa Rosa do Purus","santa-rosa-do-purus","true","6540"
"BR-AC-1200450","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200450","Senador Guiomard","senador-guiomard","true","23024"
"BR-AC-1200500","BR-AC-12002","BR-AC-12003","BR-AC","BR-N","BR","1200500","Sena Madureira","sena-madureira","true","45848"
"BR-AC-1200609","BR-AC-12003","BR-AC-12002","BR-AC","BR-N","BR","1200609","Tarauacá","tarauaca","true","42567"
"BR-AC-1200708","BR-AC-12001","BR-AC-12005","BR-AC","BR-N","BR","1200708","Xapuri","xapuri","true","19323"
"BR-AC-1200807","BR-AC-12002","BR-AC-12004","BR-AC","BR-N","BR","1200807","Porto Acre","porto-acre","true","18504"
"BR-AL-2700102","BR-AL-27010","BR-AL-27001","BR-AL","BR-NE","BR","2700102","Água Branca","agua-branca","true","20196"
"BR-AL-2700201","BR-AL-27005","BR-AL-27012","BR-AL","BR-NE","BR","2700201","Anadia","anadia","true","17545"
"BR-AL-2700300","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2700300","Arapiraca","arapiraca","true","231747"
"BR-AL-2700409","BR-AL-27004","BR-AL-27009","BR-AL","BR-NE","BR","2700409","Atalaia","atalaia","true","47185"
"BR-AL-2700508","BR-AL-27001","BR-AL-27011","BR-AL","BR-NE","BR","2700508","Barra de Santo Antônio","barra-de-santo-antonio","false","15932"
"BR-AL-2700607","BR-AL-27001","BR-AL-27011","BR-AL","BR-NE","BR","2700607","Barra de São Miguel","barra-de-sao-miguel","false","8322"
"BR-AL-2700706","BR-AL-27007","BR-AL-27004","BR-AL","BR-NE","BR","2700706","Batalha","batalha","true","18232"
"BR-AL-2700805","BR-AL-27008","BR-AL-27005","BR-AL","BR-NE","BR","2700805","Belém","belem","true","4344"
"BR-AL-2700904","BR-AL-27007","BR-AL-27004","BR-AL","BR-NE","BR","2700904","Belo Monte","belo-monte","true","6704"
"BR-AL-2701001","BR-AL-27005","BR-AL-27012","BR-AL","BR-NE","BR","2701001","Boca da Mata","boca-da-mata","true","27281"
"BR-AL-2701100","BR-AL-27003","BR-AL-27009","BR-AL","BR-NE","BR","2701100","Branquinha","branquinha","true","10494"
"BR-AL-2701209","BR-AL-27008","BR-AL-27005","BR-AL","BR-NE","BR","2701209","Cacimbinhas","cacimbinhas","true","10858"
"BR-AL-2701308","BR-AL-27004","BR-AL-27009","BR-AL","BR-NE","BR","2701308","Cajueiro","cajueiro","true","21264"
"BR-AL-2701357","BR-AL-27003","BR-AL-27009","BR-AL","BR-NE","BR","2701357","Campestre","campestre","true","6936"
"BR-AL-2701407","BR-AL-27005","BR-AL-27012","BR-AL","BR-NE","BR","2701407","Campo Alegre","campo-alegre","true","57063"
"BR-AL-2701506","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2701506","Campo Grande","campo-grande","true","9558"
"BR-AL-2701605","BR-AL-27009","BR-AL-27001","BR-AL","BR-NE","BR","2701605","Canapi","canapi","true","17722"
"BR-AL-2701704","BR-AL-27004","BR-AL-27009","BR-AL","BR-NE","BR","2701704","Capela","capela","true","17053"
"BR-AL-2701803","BR-AL-27009","BR-AL-27003","BR-AL","BR-NE","BR","2701803","Carneiros","carneiros","true","9081"
"BR-AL-2701902","BR-AL-27004","BR-AL-27008","BR-AL","BR-NE","BR","2701902","Chã Preta","cha-preta","true","7311"
"BR-AL-2702009","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2702009","Coité do Nóia","coite-do-noia","true","10693"
"BR-AL-2702108","BR-AL-27003","BR-AL-27009","BR-AL","BR-NE","BR","2702108","Colônia Leopoldina","colonia-leopoldina","true","21698"
"BR-AL-2702207","BR-AL-27001","BR-AL-27011","BR-AL","BR-NE","BR","2702207","Coqueiro Seco","coqueiro-seco","false","5845"
"BR-AL-2702306","BR-AL-27006","BR-AL-27012","BR-AL","BR-NE","BR","2702306","Coruripe","coruripe","true","56933"
"BR-AL-2702355","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2702355","Craíbas","craibas","true","24219"
"BR-AL-2702405","BR-AL-27010","BR-AL-27002","BR-AL","BR-NE","BR","2702405","Delmiro Gouveia","delmiro-gouveia","true","52016"
"BR-AL-2702504","BR-AL-27009","BR-AL-27003","BR-AL","BR-NE","BR","2702504","Dois Riachos","dois-riachos","true","11075"
"BR-AL-2702553","BR-AL-27008","BR-AL-27005","BR-AL","BR-NE","BR","2702553","Estrela de Alagoas","estrela-de-alagoas","true","18205"
"BR-AL-2702603","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2702603","Feira Grande","feira-grande","true","22166"
"BR-AL-2702702","BR-AL-27006","BR-AL-27013","BR-AL","BR-NE","BR","2702702","Feliz Deserto","feliz-deserto","true","4754"
"BR-AL-2702801","BR-AL-27001","BR-AL-27009","BR-AL","BR-NE","BR","2702801","Flexeiras","flexeiras","true","12790"
"BR-AL-2702900","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2702900","Girau do Ponciano","girau-do-ponciano","true","40917"
"BR-AL-2703007","BR-AL-27003","BR-AL-27008","BR-AL","BR-NE","BR","2703007","Ibateguara","ibateguara","true","15616"
"BR-AL-2703106","BR-AL-27008","BR-AL-27005","BR-AL","BR-NE","BR","2703106","Igaci","igaci","true","25631"
"BR-AL-2703205","BR-AL-27006","BR-AL-27013","BR-AL","BR-NE","BR","2703205","Igreja Nova","igreja-nova","true","24499"
"BR-AL-2703304","BR-AL-27010","BR-AL-27001","BR-AL","BR-NE","BR","2703304","Inhapi","inhapi","true","18385"
"BR-AL-2703403","BR-AL-27007","BR-AL-27004","BR-AL","BR-NE","BR","2703403","Jacaré dos Homens","jacare-dos-homens","true","5253"
"BR-AL-2703502","BR-AL-27002","BR-AL-27009","BR-AL","BR-NE","BR","2703502","Jacuípe","jacuipe","true","7021"
"BR-AL-2703601","BR-AL-27002","BR-AL-27010","BR-AL","BR-NE","BR","2703601","Japaratinga","japaratinga","true","8361"
"BR-AL-2703700","BR-AL-27007","BR-AL-27004","BR-AL","BR-NE","BR","2703700","Jaramataia","jaramataia","true","5770"
"BR-AL-2703759","BR-AL-27006","BR-AL-27012","BR-AL","BR-NE","BR","2703759","Jequiá da Praia","jequia-da-praia","true","11580"
"BR-AL-2703809","BR-AL-27003","BR-AL-27009","BR-AL","BR-NE","BR","2703809","Joaquim Gomes","joaquim-gomes","true","23993"
"BR-AL-2703908","BR-AL-27003","BR-AL-27009","BR-AL","BR-NE","BR","2703908","Jundiá","jundia","true","4155"
"BR-AL-2704005","BR-AL-27005","BR-AL-27012","BR-AL","BR-NE","BR","2704005","Junqueiro","junqueiro","true","24727"
"BR-AL-2704104","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2704104","Lagoa da Canoa","lagoa-da-canoa","true","17852"
"BR-AL-2704203","BR-AL-27007","BR-AL-27006","BR-AL","BR-NE","BR","2704203","Limoeiro de Anadia","limoeiro-de-anadia","true","28635"
